Change_Order_ID,Project_ID,Change_Title,Change_Category,Responsible_Party,Submitted_Date,Approved_Date,Submitted_Value,Approved_Value,Schedule_Impact_Days,Change_Status,Discipline
CO-00193,PRJ-026,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2025-05-06,2025-07-02,439200,405400,22,Approved,Fire Protection
CO-00198,PRJ-026,Coordination Issue - Plumbing package,Coordination Issue,Contractor,2025-11-12,,293600,,2,Withdrawn,Plumbing
CO-00203,PRJ-027,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2024-12-12,2025-02-02,112800,89600,7,Approved,Electrical
CO-00200,PRJ-027,Material Substitution - Fire Protection package,Material Substitution,Contractor,2025-01-02,2025-02-21,82600,62300,7,Approved,Fire Protection
CO-00204,PRJ-027,Unforeseen Condition - Electrical package,Unforeseen Condition,External,2025-01-07,2025-03-03,76400,64800,27,Approved,Electrical
CO-00202,PRJ-027,Coordination Issue - Mechanical package,Coordination Issue,Contractor,2025-02-03,,52600,,11,Pending,Mechanical
CO-00201,PRJ-027,Material Substitution - Civil package,Material Substitution,Contractor,2025-06-11,2025-08-09,27300,25400,4,Approved,Civil
CO-00199,PRJ-027,Contractor-Requested Change - Mechanical package,Contractor-Requested Change,Contractor,2025-10-06,,80900,,0,Pending,Mechanical
CO-00210,PRJ-028,Weather Impact - Electrical package,Weather Impact,External,2021-10-19,2021-12-01,34300,28300,0,Approved,Electrical
CO-00206,PRJ-028,Code or Regulatory Requirement - Fire Protection package,Code or Regulatory Requirement,External,2022-02-01,,21100,,4,Pending,Fire Protection
CO-00205,PRJ-028,Unforeseen Condition - Plumbing package,Unforeseen Condition,External,2022-03-17,2022-05-07,48400,49400,12,Approved,Plumbing
CO-00209,PRJ-028,Weather Impact - Architectural package,Weather Impact,External,2022-08-16,,9300,,3,Pending,Architectural
CO-00211,PRJ-028,Unforeseen Condition - Structural package,Unforeseen Condition,External,2022-10-23,2022-11-23,49500,46700,11,Approved,Structural
CO-00208,PRJ-028,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2022-12-31,2023-01-31,108500,81500,14,Approved,Fire Protection
CO-00207,PRJ-028,Design Error or Omission - Plumbing package,Design Error or Omission,Designer,2023-01-01,2023-01-10,17700,14700,1,Approved,Plumbing
CO-00212,PRJ-028,Scope Clarification - Plumbing package,Scope Clarification,Owner,2024-06-20,2024-07-23,21200,20800,2,Approved,Plumbing
CO-00213,PRJ-029,Scope Clarification - Fire Protection package,Scope Clarification,Owner,2024-10-07,2024-11-16,1113300,1141500,6,Approved,Fire Protection
CO-00216,PRJ-029,Owner-Directed Change - Civil package,Owner-Directed Change,Owner,2024-10-15,2024-11-26,988500,858000,5,Approved,Civil
CO-00217,PRJ-029,Coordination Issue - Structural package,Coordination Issue,Contractor,2025-04-03,,523200,,11,Pending,Structural
CO-00215,PRJ-029,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2025-04-16,2025-06-17,163700,153100,9,Approved,Electrical
CO-00214,PRJ-029,Utility Conflict - Civil package,Utility Conflict,External,2025-10-23,2025-11-02,747300,601500,3,Approved,Civil
CO-00222,PRJ-030,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2023-05-12,2023-07-15,795900,734700,19,Approved,Fire Protection
CO-00224,PRJ-030,Utility Conflict - Fire Protection package,Utility Conflict,External,2023-11-01,2023-12-12,1341100,1346400,13,Approved,Fire Protection
CO-00226,PRJ-030,Coordination Issue - Plumbing package,Coordination Issue,Contractor,2024-04-26,2024-07-03,789300,675500,15,Approved,Plumbing
CO-00221,PRJ-030,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2024-05-29,,2609900,,2,Pending,Mechanical
CO-00220,PRJ-030,Utility Conflict - Civil package,Utility Conflict,External,2024-06-12,2024-07-26,616800,534800,18,Approved,Civil
CO-00218,PRJ-030,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2024-06-22,,2860000,,8,Rejected,Structural
CO-00219,PRJ-030,Weather Impact - Electrical package,Weather Impact,External,2025-05-18,2025-06-20,395500,304000,8,Approved,Electrical
CO-00225,PRJ-030,Unforeseen Condition - Electrical package,Unforeseen Condition,External,2025-08-02,,1885700,,11,Pending,Electrical
CO-00227,PRJ-030,Code or Regulatory Requirement - Mechanical package,Code or Regulatory Requirement,External,2025-12-01,2025-12-30,1861300,1686000,3,Approved,Mechanical
CO-00223,PRJ-030,Design Error or Omission - Civil package,Design Error or Omission,Designer,2025-12-17,2026-01-06,1091100,861300,13,Approved,Civil
CO-00228,PRJ-030,Unforeseen Condition - Architectural package,Unforeseen Condition,External,2025-12-27,,1783800,,20,Withdrawn,Architectural
CO-00233,PRJ-031,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2022-01-07,,205500,,7,Pending,Structural
CO-00231,PRJ-031,Utility Conflict - Architectural package,Utility Conflict,External,2022-06-27,,36800,,11,Pending,Architectural
CO-00232,PRJ-031,Utility Conflict - Electrical package,Utility Conflict,External,2024-03-31,2024-06-09,10500,8400,12,Approved,Electrical
CO-00230,PRJ-031,Owner-Directed Change - Architectural package,Owner-Directed Change,Owner,2024-11-14,2025-01-15,75900,68500,18,Approved,Architectural
CO-00229,PRJ-031,Coordination Issue - Mechanical package,Coordination Issue,Contractor,2024-11-17,2024-12-30,41200,29800,7,Approved,Mechanical
CO-00237,PRJ-032,Design Error or Omission - Structural package,Design Error or Omission,Designer,2023-05-29,2023-07-17,3242500,2701300,17,Approved,Structural
CO-00240,PRJ-032,Material Substitution - Architectural package,Material Substitution,Contractor,2023-07-15,2023-08-16,250500,223700,0,Approved,Architectural
CO-00241,PRJ-032,Coordination Issue - Civil package,Coordination Issue,Contractor,2023-08-01,2023-09-06,1136700,1029000,4,Approved,Civil
CO-00235,PRJ-032,Design Error or Omission - Architectural package,Design Error or Omission,Designer,2023-11-22,2023-12-09,384200,348800,7,Approved,Architectural
CO-00243,PRJ-032,Scope Clarification - Plumbing package,Scope Clarification,Owner,2024-06-22,,276100,,10,Withdrawn,Plumbing
CO-00242,PRJ-032,Owner-Directed Change - Civil package,Owner-Directed Change,Owner,2024-08-06,2024-08-23,214600,206100,10,Approved,Civil
CO-00234,PRJ-032,Design Error or Omission - Mechanical package,Design Error or Omission,Designer,2024-09-02,2024-10-22,432400,322100,9,Approved,Mechanical
CO-00238,PRJ-032,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2025-04-13,2025-07-08,5826500,5142900,0,Approved,Structural
CO-00239,PRJ-032,Design Error or Omission - Architectural package,Design Error or Omission,Designer,2025-07-22,,248300,,5,Pending,Architectural
CO-00236,PRJ-032,Contractor-Requested Change - Plumbing package,Contractor-Requested Change,Contractor,2025-10-04,2025-12-04,80200,62000,4,Approved,Plumbing
CO-00244,PRJ-033,Code or Regulatory Requirement - Structural package,Code or Regulatory Requirement,External,2023-07-07,,2353300,,7,Rejected,Structural
CO-00245,PRJ-033,Weather Impact - Architectural package,Weather Impact,External,2023-12-04,,481800,,4,Rejected,Architectural
CO-00249,PRJ-033,Owner-Directed Change - Architectural package,Owner-Directed Change,Owner,2024-03-09,2024-04-19,6980000,5561300,7,Approved,Architectural
CO-00247,PRJ-033,Design Error or Omission - Plumbing package,Design Error or Omission,Designer,2024-03-29,2024-04-24,428200,330400,4,Approved,Plumbing
CO-00246,PRJ-033,Design Error or Omission - Civil package,Design Error or Omission,Designer,2024-06-22,2024-08-19,1572500,1332300,10,Approved,Civil
CO-00250,PRJ-033,Material Substitution - Plumbing package,Material Substitution,Contractor,2025-02-25,,644200,,2,Pending,Plumbing
CO-00248,PRJ-033,Contractor-Requested Change - Architectural package,Contractor-Requested Change,Contractor,2025-12-21,2026-01-18,1124600,1144800,0,Approved,Architectural
CO-00254,PRJ-034,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2022-01-18,2022-03-16,1119300,929800,14,Approved,Electrical
CO-00257,PRJ-034,Unforeseen Condition - Mechanical package,Unforeseen Condition,External,2022-03-17,2022-05-11,646300,663700,8,Approved,Mechanical
CO-00251,PRJ-034,Code or Regulatory Requirement - Architectural package,Code or Regulatory Requirement,External,2022-03-24,2022-05-21,384800,322900,4,Approved,Architectural
CO-00255,PRJ-034,Material Substitution - Plumbing package,Material Substitution,Contractor,2022-06-11,,114900,,0,Pending,Plumbing
CO-00252,PRJ-034,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2022-12-11,2023-01-29,125000,109900,12,Approved,Fire Protection
CO-00258,PRJ-034,Scope Clarification - Mechanical package,Scope Clarification,Owner,2023-03-28,2023-04-27,170900,168900,13,Approved,Mechanical
CO-00256,PRJ-034,Scope Clarification - Plumbing package,Scope Clarification,Owner,2023-10-28,,72600,,6,Rejected,Plumbing
CO-00259,PRJ-034,Scope Clarification - Electrical package,Scope Clarification,Owner,2024-02-26,2024-04-26,232700,229000,11,Approved,Electrical
CO-00253,PRJ-034,Coordination Issue - Mechanical package,Coordination Issue,Contractor,2024-02-29,,273100,,14,Pending,Mechanical
CO-00260,PRJ-035,Scope Clarification - Plumbing package,Scope Clarification,Owner,2023-01-14,2023-02-27,192400,164400,3,Approved,Plumbing
CO-00263,PRJ-035,Design Error or Omission - Architectural package,Design Error or Omission,Designer,2023-10-31,2023-12-20,460500,369800,10,Approved,Architectural
CO-00261,PRJ-035,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2024-02-01,2024-03-04,975700,953700,2,Approved,Electrical
CO-00262,PRJ-035,Scope Clarification - Electrical package,Scope Clarification,Owner,2025-02-26,2025-03-26,835500,849500,2,Approved,Electrical
CO-00269,PRJ-036,Design Error or Omission - Civil package,Design Error or Omission,Designer,2024-08-16,2024-09-05,25200,24400,8,Approved,Civil
CO-00267,PRJ-036,Code or Regulatory Requirement - Structural package,Code or Regulatory Requirement,External,2024-11-05,2024-12-25,58000,47000,10,Approved,Structural
CO-00268,PRJ-036,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2025-03-12,2025-04-13,71100,60800,5,Approved,Fire Protection
CO-00265,PRJ-036,Coordination Issue - Fire Protection package,Coordination Issue,Contractor,2025-04-13,2025-06-19,10200,7700,12,Approved,Fire Protection
CO-00266,PRJ-036,Code or Regulatory Requirement - Plumbing package,Code or Regulatory Requirement,External,2025-06-18,2025-07-26,30600,22100,15,Approved,Plumbing
CO-00264,PRJ-036,Owner-Directed Change - Plumbing package,Owner-Directed Change,Owner,2025-09-15,2025-10-01,236700,204500,5,Approved,Plumbing
CO-00271,PRJ-037,Contractor-Requested Change - Electrical package,Contractor-Requested Change,Contractor,2022-11-15,,197600,,0,Pending,Electrical
CO-00275,PRJ-037,Owner-Directed Change - Plumbing package,Owner-Directed Change,Owner,2023-08-05,2023-09-19,479100,460000,4,Approved,Plumbing
CO-00274,PRJ-037,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2023-10-06,,588900,,0,Pending,Fire Protection
CO-00272,PRJ-037,Utility Conflict - Fire Protection package,Utility Conflict,External,2023-11-09,,827400,,13,Rejected,Fire Protection
CO-00270,PRJ-037,Material Substitution - Structural package,Material Substitution,Contractor,2024-08-24,,56700,,0,Pending,Structural
CO-00273,PRJ-037,Scope Clarification - Architectural package,Scope Clarification,Owner,2025-03-25,2025-03-28,262500,192200,6,Approved,Architectural
CO-00276,PRJ-038,Contractor-Requested Change - Architectural package,Contractor-Requested Change,Contractor,2022-11-25,2023-01-15,78800,70400,1,Approved,Architectural
CO-00283,PRJ-038,Design Error or Omission - Architectural package,Design Error or Omission,Designer,2022-12-09,,45500,,4,Pending,Architectural
CO-00280,PRJ-038,Design Error or Omission - Civil package,Design Error or Omission,Designer,2023-05-28,,59500,,0,Pending,Civil
CO-00282,PRJ-038,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2023-06-24,2023-08-03,73700,65200,6,Approved,Electrical
CO-00281,PRJ-038,Coordination Issue - Fire Protection package,Coordination Issue,Contractor,2023-08-20,,68000,,5,Withdrawn,Fire Protection
CO-00277,PRJ-038,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2024-01-15,2024-01-18,42500,38400,14,Approved,Electrical
CO-00278,PRJ-038,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2024-02-24,,50600,,11,Pending,Electrical
CO-00284,PRJ-038,Scope Clarification - Fire Protection package,Scope Clarification,Owner,2024-03-29,,22600,,4,Rejected,Fire Protection
CO-00279,PRJ-038,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2024-09-17,2024-11-06,144500,144900,0,Approved,Fire Protection
CO-00285,PRJ-039,Utility Conflict - Electrical package,Utility Conflict,External,2023-01-05,2023-01-14,64000,60400,11,Approved,Electrical
CO-00290,PRJ-039,Owner-Directed Change - Civil package,Owner-Directed Change,Owner,2023-01-21,2023-02-12,68200,60400,0,Approved,Civil
CO-00289,PRJ-039,Scope Clarification - Structural package,Scope Clarification,Owner,2023-02-14,2023-03-11,157700,148400,5,Approved,Structural
CO-00287,PRJ-039,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2023-08-09,2023-10-23,184200,164700,2,Approved,Electrical
CO-00286,PRJ-039,Contractor-Requested Change - Structural package,Contractor-Requested Change,Contractor,2024-02-15,,59200,,11,Pending,Structural
CO-00288,PRJ-039,Coordination Issue - Electrical package,Coordination Issue,Contractor,2024-09-21,,174000,,0,Pending,Electrical
CO-00292,PRJ-040,Design Error or Omission - Architectural package,Design Error or Omission,Designer,2022-11-20,2022-12-26,620500,492100,10,Approved,Architectural
CO-00291,PRJ-040,Unforeseen Condition - Plumbing package,Unforeseen Condition,External,2024-07-04,2024-08-09,621300,470200,20,Approved,Plumbing
CO-00294,PRJ-040,Unforeseen Condition - Civil package,Unforeseen Condition,External,2025-01-06,2025-02-20,570000,483200,20,Approved,Civil
CO-00295,PRJ-040,Scope Clarification - Fire Protection package,Scope Clarification,Owner,2025-03-30,,104400,,0,Rejected,Fire Protection
CO-00293,PRJ-040,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2025-07-07,2025-08-07,268400,266600,4,Approved,Structural
CO-00296,PRJ-040,Coordination Issue - Plumbing package,Coordination Issue,Contractor,2025-08-20,,272400,,4,Rejected,Plumbing
CO-00298,PRJ-041,Coordination Issue - Fire Protection package,Coordination Issue,Contractor,2023-11-10,,191900,,10,Rejected,Fire Protection
CO-00303,PRJ-041,Scope Clarification - Mechanical package,Scope Clarification,Owner,2023-11-24,2024-01-08,170100,123800,6,Approved,Mechanical
CO-00302,PRJ-041,Coordination Issue - Mechanical package,Coordination Issue,Contractor,2023-11-27,2023-12-16,138300,133700,9,Approved,Mechanical
CO-00297,PRJ-041,Unforeseen Condition - Structural package,Unforeseen Condition,External,2024-01-13,,155400,,21,Pending,Structural
CO-00300,PRJ-041,Unforeseen Condition - Mechanical package,Unforeseen Condition,External,2024-02-01,2024-03-30,447200,425600,5,Approved,Mechanical
CO-00301,PRJ-041,Material Substitution - Mechanical package,Material Substitution,Contractor,2024-04-25,,194400,,5,Pending,Mechanical
CO-00299,PRJ-041,Weather Impact - Architectural package,Weather Impact,External,2024-04-30,,133500,,2,Pending,Architectural
CO-00304,PRJ-041,Scope Clarification - Civil package,Scope Clarification,Owner,2025-02-22,,40100,,0,Pending,Civil
CO-00308,PRJ-042,Material Substitution - Civil package,Material Substitution,Contractor,2021-12-13,2022-01-09,9400,9300,10,Approved,Civil
CO-00309,PRJ-042,Design Error or Omission - Mechanical package,Design Error or Omission,Designer,2022-12-06,2023-03-01,56600,52900,11,Approved,Mechanical
CO-00307,PRJ-042,Utility Conflict - Mechanical package,Utility Conflict,External,2023-03-13,2023-03-30,7800,7300,21,Approved,Mechanical
CO-00306,PRJ-042,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2023-06-08,2023-07-23,20600,16600,5,Approved,Electrical
CO-00310,PRJ-042,Unforeseen Condition - Architectural package,Unforeseen Condition,External,2023-10-29,2023-11-23,15700,15100,10,Approved,Architectural
CO-00305,PRJ-042,Owner-Directed Change - Civil package,Owner-Directed Change,Owner,2024-05-22,,88400,,1,Withdrawn,Civil
CO-00312,PRJ-043,Owner-Directed Change - Civil package,Owner-Directed Change,Owner,2022-12-24,2023-02-05,686400,681800,0,Approved,Civil
CO-00315,PRJ-043,Coordination Issue - Civil package,Coordination Issue,Contractor,2024-02-20,2024-04-03,294400,225800,11,Approved,Civil
CO-00320,PRJ-043,Scope Clarification - Electrical package,Scope Clarification,Owner,2024-07-14,2024-08-01,711000,640800,0,Approved,Electrical
CO-00314,PRJ-043,Coordination Issue - Plumbing package,Coordination Issue,Contractor,2024-08-12,,1632400,,14,Withdrawn,Plumbing
CO-00316,PRJ-043,Coordination Issue - Plumbing package,Coordination Issue,Contractor,2024-09-18,2024-10-07,126600,114100,10,Approved,Plumbing
CO-00313,PRJ-043,Unforeseen Condition - Civil package,Unforeseen Condition,External,2024-10-22,2024-12-16,4247600,4243400,8,Approved,Civil
CO-00317,PRJ-043,Scope Clarification - Fire Protection package,Scope Clarification,Owner,2024-10-29,2025-01-04,334400,310700,10,Approved,Fire Protection
CO-00311,PRJ-043,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2025-03-08,2025-04-26,2031700,1514000,3,Approved,Structural
CO-00318,PRJ-043,Material Substitution - Structural package,Material Substitution,Contractor,2025-07-07,2025-08-26,647600,535800,1,Approved,Structural
CO-00319,PRJ-043,Owner-Directed Change - Plumbing package,Owner-Directed Change,Owner,2025-10-11,2025-11-27,1324700,1212500,0,Approved,Plumbing
CO-00322,PRJ-044,Design Error or Omission - Plumbing package,Design Error or Omission,Designer,2024-11-13,,857100,,7,Pending,Plumbing
CO-00325,PRJ-044,Coordination Issue - Structural package,Coordination Issue,Contractor,2025-05-21,2025-07-01,155800,139100,5,Approved,Structural
CO-00323,PRJ-044,Utility Conflict - Mechanical package,Utility Conflict,External,2025-07-30,2025-09-05,413400,324600,12,Approved,Mechanical
CO-00321,PRJ-044,Code or Regulatory Requirement - Plumbing package,Code or Regulatory Requirement,External,2025-10-10,,158000,,11,Withdrawn,Plumbing
CO-00324,PRJ-044,Design Error or Omission - Structural package,Design Error or Omission,Designer,2025-12-28,2026-02-15,721700,654200,16,Approved,Structural
CO-00331,PRJ-045,Utility Conflict - Structural package,Utility Conflict,External,2024-09-06,2024-09-27,556300,555700,13,Approved,Structural
CO-00328,PRJ-045,Scope Clarification - Civil package,Scope Clarification,Owner,2025-01-06,,218200,,8,Rejected,Civil
CO-00329,PRJ-045,Design Error or Omission - Structural package,Design Error or Omission,Designer,2025-01-19,2025-04-30,95300,80300,11,Approved,Structural
CO-00330,PRJ-045,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2025-05-06,2025-06-13,363300,292600,9,Approved,Structural
CO-00327,PRJ-045,Contractor-Requested Change - Civil package,Contractor-Requested Change,Contractor,2025-10-08,,295400,,0,Rejected,Civil
CO-00326,PRJ-045,Utility Conflict - Fire Protection package,Utility Conflict,External,2025-10-22,2025-12-02,307300,308400,15,Approved,Fire Protection
CO-00336,PRJ-046,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2021-09-03,2021-11-10,293200,248400,8,Approved,Mechanical
CO-00334,PRJ-046,Unforeseen Condition - Electrical package,Unforeseen Condition,External,2022-03-12,2022-04-10,194900,185500,21,Approved,Electrical
CO-00338,PRJ-046,Design Error or Omission - Structural package,Design Error or Omission,Designer,2022-04-28,,48500,,12,Pending,Structural
CO-00337,PRJ-046,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2022-05-01,2022-07-26,288400,225400,8,Approved,Fire Protection
CO-00333,PRJ-046,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2022-07-12,2022-09-24,394200,303400,13,Approved,Electrical
CO-00340,PRJ-046,Coordination Issue - Architectural package,Coordination Issue,Contractor,2022-12-07,2023-02-13,379700,335900,9,Approved,Architectural
CO-00335,PRJ-046,Utility Conflict - Fire Protection package,Utility Conflict,External,2023-02-25,2023-04-13,674200,539800,23,Approved,Fire Protection
CO-00339,PRJ-046,Unforeseen Condition - Mechanical package,Unforeseen Condition,External,2023-03-20,2023-05-24,207300,204700,12,Approved,Mechanical
CO-00332,PRJ-046,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2023-04-27,2023-06-22,294900,243900,10,Approved,Electrical
CO-00341,PRJ-047,Coordination Issue - Mechanical package,Coordination Issue,Contractor,2022-11-30,,80400,,5,Pending,Mechanical
CO-00345,PRJ-047,Contractor-Requested Change - Plumbing package,Contractor-Requested Change,Contractor,2023-03-20,,301200,,3,Rejected,Plumbing
CO-00342,PRJ-047,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2023-05-11,,227200,,13,Pending,Electrical
CO-00346,PRJ-047,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2024-03-30,,39600,,8,Pending,Fire Protection
CO-00344,PRJ-047,Material Substitution - Architectural package,Material Substitution,Contractor,2024-04-07,,293800,,0,Pending,Architectural
CO-00343,PRJ-047,Weather Impact - Electrical package,Weather Impact,External,2024-05-15,,165100,,10,Rejected,Electrical
CO-00351,PRJ-048,Coordination Issue - Structural package,Coordination Issue,Contractor,2022-10-20,2022-11-28,71300,68300,0,Approved,Structural
CO-00350,PRJ-048,Design Error or Omission - Plumbing package,Design Error or Omission,Designer,2022-11-04,2023-01-09,129100,110200,1,Approved,Plumbing
CO-00347,PRJ-048,Design Error or Omission - Plumbing package,Design Error or Omission,Designer,2023-06-01,2023-06-09,197400,187400,6,Approved,Plumbing
CO-00349,PRJ-048,Utility Conflict - Electrical package,Utility Conflict,External,2024-03-05,2024-04-18,447800,391700,1,Approved,Electrical
CO-00348,PRJ-048,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2024-03-18,2024-04-26,116800,106000,10,Approved,Fire Protection
CO-00354,PRJ-049,Design Error or Omission - Mechanical package,Design Error or Omission,Designer,2023-10-27,2023-12-03,81000,65200,12,Approved,Mechanical
CO-00353,PRJ-049,Design Error or Omission - Mechanical package,Design Error or Omission,Designer,2024-08-24,2024-10-13,13000,10300,5,Approved,Mechanical
CO-00355,PRJ-049,Material Substitution - Mechanical package,Material Substitution,Contractor,2024-11-11,2024-12-08,18700,18300,15,Approved,Mechanical
CO-00352,PRJ-049,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2025-03-29,2025-05-14,33100,27600,4,Approved,Electrical
CO-00358,PRJ-050,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2024-03-06,2024-04-01,510700,417900,5,Approved,Fire Protection
CO-00357,PRJ-050,Design Error or Omission - Civil package,Design Error or Omission,Designer,2024-05-21,2024-06-24,243300,187200,13,Approved,Civil
CO-00359,PRJ-050,Contractor-Requested Change - Architectural package,Contractor-Requested Change,Contractor,2024-08-03,,119800,,0,Pending,Architectural
CO-00360,PRJ-050,Contractor-Requested Change - Electrical package,Contractor-Requested Change,Contractor,2024-08-10,,57800,,4,Rejected,Electrical
CO-00356,PRJ-050,Utility Conflict - Plumbing package,Utility Conflict,External,2025-02-23,2025-03-05,122300,108800,8,Approved,Plumbing
CO-00361,PRJ-050,Material Substitution - Mechanical package,Material Substitution,Contractor,2025-05-11,2025-06-04,354200,294900,14,Approved,Mechanical
CO-00362,PRJ-051,Scope Clarification - Electrical package,Scope Clarification,Owner,2021-10-04,,216800,,9,Rejected,Electrical
CO-00363,PRJ-051,Design Error or Omission - Plumbing package,Design Error or Omission,Designer,2022-06-09,2022-07-14,266700,203600,9,Approved,Plumbing
CO-00364,PRJ-051,Design Error or Omission - Civil package,Design Error or Omission,Designer,2023-10-30,,562400,,5,Pending,Civil
CO-00365,PRJ-051,Design Error or Omission - Architectural package,Design Error or Omission,Designer,2023-10-31,2023-11-16,676300,579800,0,Approved,Architectural
CO-00371,PRJ-052,Unforeseen Condition - Civil package,Unforeseen Condition,External,2023-09-17,2023-11-01,45500,44400,7,Approved,Civil
CO-00366,PRJ-052,Code or Regulatory Requirement - Structural package,Code or Regulatory Requirement,External,2024-04-09,2024-05-05,30500,23800,11,Approved,Structural
CO-00370,PRJ-052,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2024-06-09,,94300,,1,Pending,Structural
CO-00368,PRJ-052,Unforeseen Condition - Structural package,Unforeseen Condition,External,2024-07-08,,87700,,13,Rejected,Structural
CO-00369,PRJ-052,Coordination Issue - Civil package,Coordination Issue,Contractor,2024-08-29,,75100,,1,Rejected,Civil
CO-00367,PRJ-052,Unforeseen Condition - Architectural package,Unforeseen Condition,External,2025-04-30,2025-07-06,49900,40800,11,Approved,Architectural
CO-00376,PRJ-053,Unforeseen Condition - Mechanical package,Unforeseen Condition,External,2024-03-30,2024-06-11,624300,608100,16,Approved,Mechanical
CO-00375,PRJ-053,Owner-Directed Change - Civil package,Owner-Directed Change,Owner,2024-04-06,,555200,,8,Pending,Civil
CO-00380,PRJ-053,Material Substitution - Architectural package,Material Substitution,Contractor,2024-05-08,2024-06-14,445800,390400,0,Approved,Architectural
CO-00372,PRJ-053,Owner-Directed Change - Plumbing package,Owner-Directed Change,Owner,2024-06-27,2024-08-18,401500,346800,9,Approved,Plumbing
CO-00374,PRJ-053,Weather Impact - Mechanical package,Weather Impact,External,2024-07-30,2024-09-03,137500,128700,12,Approved,Mechanical
CO-00378,PRJ-053,Unforeseen Condition - Structural package,Unforeseen Condition,External,2024-09-22,2024-11-23,860500,745300,8,Approved,Structural
CO-00373,PRJ-053,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2024-11-29,2025-01-22,1628400,1291500,6,Approved,Mechanical
CO-00379,PRJ-053,Utility Conflict - Fire Protection package,Utility Conflict,External,2025-05-23,2025-07-16,682600,552600,4,Approved,Fire Protection
CO-00377,PRJ-053,Design Error or Omission - Architectural package,Design Error or Omission,Designer,2025-07-22,2025-07-25,492300,455600,3,Approved,Architectural
CO-00385,PRJ-054,Unforeseen Condition - Structural package,Unforeseen Condition,External,2022-08-12,,624200,,9,Pending,Structural
CO-00384,PRJ-054,Code or Regulatory Requirement - Civil package,Code or Regulatory Requirement,External,2022-08-23,,353900,,0,Pending,Civil
CO-00381,PRJ-054,Coordination Issue - Structural package,Coordination Issue,Contractor,2023-10-13,2023-11-17,614000,515200,0,Approved,Structural
CO-00382,PRJ-054,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2023-11-10,2023-12-29,345400,320000,7,Approved,Mechanical
CO-00386,PRJ-054,Design Error or Omission - Civil package,Design Error or Omission,Designer,2024-02-04,,650100,,8,Pending,Civil
CO-00383,PRJ-054,Unforeseen Condition - Structural package,Unforeseen Condition,External,2024-03-11,2024-04-13,197600,159900,7,Approved,Structural
CO-00389,PRJ-055,Coordination Issue - Mechanical package,Coordination Issue,Contractor,2022-04-16,,177100,,7,Rejected,Mechanical
CO-00390,PRJ-055,Code or Regulatory Requirement - Structural package,Code or Regulatory Requirement,External,2022-10-08,2022-11-15,57100,42100,13,Approved,Structural
CO-00387,PRJ-055,Design Error or Omission - Structural package,Design Error or Omission,Designer,2023-01-16,2023-03-01,43600,44000,11,Approved,Structural
CO-00388,PRJ-055,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2023-02-14,2023-03-25,434400,338900,0,Approved,Fire Protection
CO-00394,PRJ-056,Owner-Directed Change - Plumbing package,Owner-Directed Change,Owner,2022-08-18,2022-10-01,50100,50100,2,Approved,Plumbing
CO-00395,PRJ-056,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2022-09-27,,162200,,9,Withdrawn,Structural
CO-00396,PRJ-056,Design Error or Omission - Structural package,Design Error or Omission,Designer,2022-12-13,2023-02-05,178600,147900,8,Approved,Structural
CO-00397,PRJ-056,Unforeseen Condition - Architectural package,Unforeseen Condition,External,2023-12-14,,275300,,8,Pending,Architectural
