Performance_Record_ID,Project_ID,Reporting_Date,Planned_Value,Earned_Value,Actual_Cost,Percent_Complete,Committed_Cost,Contingency_Used,Forecast_End_Date,Open_RFI_Count,Pending_CO_Value,Approved_CO_Value
PERF-000235,PRJ-010,2022-08-31,15944800,17256900,17273300,15.0,37612600,1004200,2024-02-14,0,0,326100
PERF-000236,PRJ-010,2022-09-30,21558900,23289500,23526000,20.2,39396800,1312800,2024-02-12,0,0,326100
PERF-000237,PRJ-010,2022-10-31,27952700,30134200,31009800,26.1,48391200,1312800,2024-02-10,0,0,326100
PERF-000238,PRJ-010,2022-11-30,34602900,37222700,36863200,32.3,52845600,1449800,2024-02-08,0,0,326100
PERF-000239,PRJ-010,2022-12-31,41836600,44895400,46028200,38.9,72194100,1911600,2024-02-05,0,0,326100
PERF-000240,PRJ-010,2023-01-31,49320300,52787300,52832700,45.8,72194100,2439300,2024-02-03,0,0,326100
PERF-000241,PRJ-010,2023-02-28,56195400,59990800,58960400,52.0,82083000,2597400,2024-01-31,0,0,326100
PERF-000242,PRJ-010,2023-03-31,63825400,68422400,68528500,59.3,96346300,2597400,2024-01-29,0,0,326100
PERF-000243,PRJ-010,2023-04-30,71119000,76769200,76514200,66.6,96346300,3330200,2024-01-26,1,0,326100
PERF-000244,PRJ-010,2023-05-31,78446300,85057200,84651400,73.7,115756200,3330200,2024-01-23,0,0,326100
PERF-000245,PRJ-010,2023-06-30,85223700,92611000,91605100,80.3,115756200,3330200,2024-01-21,0,0,326100
PERF-000246,PRJ-010,2023-07-31,91786900,99787300,97639800,86.5,116251700,3330200,2024-01-21,1,0,326100
PERF-000247,PRJ-010,2023-08-31,97784900,106174600,104554400,92.0,116995500,3434000,2024-01-21,0,0,326100
PERF-000248,PRJ-010,2023-09-30,102938900,111462300,108555900,96.6,116995500,3774400,2024-01-21,0,0,326100
PERF-000249,PRJ-010,2023-10-31,107476600,115348100,113751100,100.0,117163600,4044700,2024-01-21,0,0,326100
PERF-000250,PRJ-010,2023-11-30,110994200,115348100,113751100,100.0,117163600,4052400,2024-01-21,0,0,326100
PERF-000251,PRJ-010,2023-12-31,113610200,115348100,113751100,100.0,117163600,4052400,2024-01-21,0,0,326100
PERF-000252,PRJ-010,2024-01-31,115072600,115348100,113751100,100.0,117163600,4052400,2024-01-21,1,0,326100
PERF-000253,PRJ-011,2022-08-31,97200,86400,89700,0.3,4877700,75600,2023-12-16,0,0,0
PERF-000254,PRJ-011,2022-09-30,711900,634200,661600,2.3,6283400,185000,2023-12-16,0,0,0
PERF-000255,PRJ-011,2022-10-31,1871700,1672300,1685800,6.1,6530000,226300,2023-12-16,0,0,0
PERF-000256,PRJ-011,2022-11-30,3423400,3068200,3161000,11.3,9602400,226300,2023-12-18,1,0,0
PERF-000257,PRJ-011,2022-12-31,5388400,4846400,4991300,17.8,9602400,328900,2023-12-21,2,0,0
PERF-000258,PRJ-011,2023-01-31,7637400,6896000,7109500,25.3,10638700,462000,2023-12-23,1,0,82700
PERF-000259,PRJ-011,2023-02-28,9842900,8922100,9241400,32.8,14257000,521000,2023-12-26,1,131900,82700
PERF-000260,PRJ-011,2023-03-31,12399800,11294000,11810700,41.5,16205200,636300,2023-12-30,1,131900,82700
PERF-000261,PRJ-011,2023-04-30,14912600,13653900,14566000,50.1,20815300,822900,2024-01-02,1,131900,82700
PERF-000262,PRJ-011,2023-05-31,17466800,16090600,16740500,59.1,22237700,968500,2024-01-05,1,131900,82700
PERF-000263,PRJ-011,2023-06-30,19819100,18381300,19241800,67.5,25716300,996800,2024-01-08,2,131900,82700
PERF-000264,PRJ-011,2023-07-31,22044400,20610000,21498700,75.7,25739000,1082600,2024-01-11,2,131900,82700
PERF-000265,PRJ-011,2023-08-31,23977300,22628600,24109400,83.1,29881000,1182000,2024-01-13,3,131900,82700
PERF-000266,PRJ-011,2023-09-30,25490300,24315600,26445400,89.3,30502200,1183300,2024-01-13,3,131900,82700
PERF-000267,PRJ-011,2023-10-31,26602200,25715000,28408300,94.4,30983100,1375900,2024-01-13,2,131900,82700
PERF-000268,PRJ-011,2023-11-30,27162600,26670700,28505000,98.0,30983100,1375900,2024-01-13,2,131900,82700
PERF-000269,PRJ-011,2023-12-31,27228800,27178000,30047900,99.8,31007100,1375900,2024-01-13,3,131900,132100
PERF-000270,PRJ-011,2024-01-31,27228800,27228800,30047900,100.0,31007100,1469100,2024-01-13,2,131900,132100
PERF-000271,PRJ-012,2022-11-30,60000,61100,66200,0.3,3420700,100600,2025-06-02,0,0,0
PERF-000272,PRJ-012,2022-12-31,260300,265200,282900,1.1,6648700,100600,2025-06-02,0,0,0
PERF-000273,PRJ-012,2023-01-31,591800,602900,649800,2.6,6648700,100600,2025-06-02,0,0,0
PERF-000274,PRJ-012,2023-02-28,995800,1014200,1074500,4.4,7227500,123100,2025-06-02,0,0,0
PERF-000275,PRJ-012,2023-03-31,1549800,1578000,1682600,6.8,7227500,136300,2025-06-01,0,0,0
PERF-000276,PRJ-012,2023-04-30,2183700,2222900,2346300,9.6,7598700,154500,2025-06-01,0,0,240400
PERF-000277,PRJ-012,2023-05-31,2930200,2981900,3137500,12.9,8644100,179600,2025-06-01,0,0,240400
PERF-000278,PRJ-012,2023-06-30,3731800,3796600,4038200,16.4,9814900,205400,2025-05-31,0,0,240400
PERF-000279,PRJ-012,2023-07-31,4632600,4711500,5108700,20.4,9814900,230900,2025-05-31,0,0,240400
PERF-000280,PRJ-012,2023-08-31,5597100,5690500,6076700,24.6,10417400,283100,2025-05-30,0,0,240400
PERF-000281,PRJ-012,2023-09-30,6581900,6689500,7196300,28.9,11219400,289600,2025-05-30,0,0,299200
PERF-000282,PRJ-012,2023-10-31,7643100,7765200,8336100,33.6,12981100,346900,2025-05-29,0,0,333400
PERF-000283,PRJ-012,2023-11-30,8703000,8838700,9752500,38.2,14390300,382900,2025-05-29,1,0,333400
PERF-000284,PRJ-012,2023-12-31,9822700,9971600,10576800,43.1,16819100,429800,2025-05-28,0,0,333400
PERF-000285,PRJ-012,2024-01-31,10957600,11118700,11819500,48.1,16819100,502000,2025-05-28,0,0,379500
PERF-000286,PRJ-012,2024-02-29,12024100,12195500,13565900,52.7,18070300,521700,2025-05-27,2,0,379500
PERF-000287,PRJ-012,2024-03-31,13160200,13409900,14576200,58.0,18861300,531300,2025-05-26,0,0,379500
PERF-000288,PRJ-012,2024-04-30,14246500,14625100,15934800,63.2,21221400,602000,2025-05-26,0,0,379500
PERF-000289,PRJ-012,2024-05-31,15346000,15852800,17453800,68.5,21221400,643000,2025-05-25,1,0,379500
PERF-000290,PRJ-012,2024-06-30,16378400,17003200,18076000,73.5,21221400,643000,2025-05-25,0,0,379500
PERF-000291,PRJ-012,2024-07-31,17403100,18142100,19242600,78.4,23957900,751100,2025-05-24,0,0,379500
PERF-000292,PRJ-012,2024-08-31,18375100,19219200,20650500,83.1,24191400,751100,2025-05-24,0,0,379500
PERF-000293,PRJ-012,2024-09-30,19256300,20192100,21610400,87.3,25495900,786500,2025-05-24,0,0,379500
PERF-000294,PRJ-012,2024-10-31,20096000,21114600,22355600,91.3,25495900,786500,2025-05-24,0,0,379500
PERF-000295,PRJ-012,2024-11-30,20830600,21916700,22799300,94.8,25495900,897500,2025-05-24,1,0,379500
PERF-000296,PRJ-012,2024-12-31,21499700,22640900,23742800,97.9,25495900,964000,2025-05-24,1,0,379500
PERF-000297,PRJ-012,2025-01-31,22067500,23128700,24130000,100.0,25495900,964000,2025-05-24,1,0,379500
PERF-000298,PRJ-012,2025-02-28,22485100,23128700,24130000,100.0,25495900,964000,2025-05-24,1,0,379500
PERF-000299,PRJ-012,2025-03-31,22832800,23128700,24305200,100.0,25495900,964000,2025-05-24,1,0,379500
PERF-000300,PRJ-012,2025-04-30,23045700,23128700,24305200,100.0,25495900,964000,2025-05-24,1,0,379500
PERF-000301,PRJ-012,2025-05-31,23128400,23128700,24331800,100.0,25495900,964000,2025-05-24,1,0,379500
PERF-000302,PRJ-013,2022-08-31,28400,23700,25600,0.2,1372100,45500,2024-05-14,0,0,0
PERF-000303,PRJ-013,2022-09-30,171800,143900,160300,1.5,2901900,45500,2024-05-14,0,0,0
PERF-000304,PRJ-013,2022-10-31,435600,365900,406000,3.7,3308500,45500,2024-05-14,1,0,0
PERF-000305,PRJ-013,2022-11-30,790000,665800,734100,6.7,3308500,48400,2024-05-16,0,0,0
PERF-000306,PRJ-013,2022-12-31,1245500,1053700,1213200,10.7,4264600,69500,2024-05-19,0,0,0
PERF-000307,PRJ-013,2023-01-31,1778500,1510500,1702700,15.3,4264600,94500,2024-05-23,1,0,0
PERF-000308,PRJ-013,2023-02-28,2315300,1973900,2174500,20.0,4630800,113300,2024-05-26,0,0,32200
PERF-000309,PRJ-013,2023-03-31,2958300,2533800,2863500,25.7,4630800,168600,2024-05-31,0,0,106900
PERF-000310,PRJ-013,2023-04-30,3617000,3112900,3458400,31.5,6263500,185900,2024-06-04,1,0,106900
PERF-000311,PRJ-013,2023-05-31,4322300,3740000,4206600,37.9,6263500,209100,2024-06-09,0,11300,106900
PERF-000312,PRJ-013,2023-06-30,5015900,4364900,5028600,44.2,7501300,229700,2024-06-14,0,11300,106900
PERF-000313,PRJ-013,2023-07-31,5731000,5019400,5773400,50.9,7501300,259100,2024-06-19,0,11300,106900
PERF-000314,PRJ-013,2023-08-31,6431000,5672600,6543400,57.5,9075800,304600,2024-06-24,1,37400,106900
PERF-000315,PRJ-013,2023-09-30,7081500,6293700,7322100,63.8,9093200,325300,2024-06-29,0,37400,106900
PERF-000316,PRJ-013,2023-10-31,7712400,6914200,8093800,70.1,9665000,368600,2024-07-03,1,37400,153100
PERF-000317,PRJ-013,2023-11-30,8270600,7484500,8903800,75.8,11181100,426300,2024-07-08,3,37400,209400
PERF-000318,PRJ-013,2023-12-31,8780100,8032500,9362700,81.4,11849200,466800,2024-07-11,1,37400,282400
PERF-000319,PRJ-013,2024-01-31,9207800,8528400,10289700,86.4,12265100,466800,2024-07-11,0,37400,282400
PERF-000320,PRJ-013,2024-02-29,9521900,8936100,10627700,90.5,12265100,486200,2024-07-11,1,37400,282400
PERF-000321,PRJ-013,2024-03-31,9752900,9302000,11114800,94.2,12265100,486200,2024-07-11,1,37400,282400
PERF-000322,PRJ-013,2024-04-30,9860900,9577800,11341400,97.0,12265100,524200,2024-07-11,0,37400,282400
PERF-000323,PRJ-013,2024-05-31,9869600,9772000,11827600,99.0,12304100,532100,2024-07-11,0,37400,282400
PERF-000324,PRJ-013,2024-06-30,9869600,9862400,11929800,99.9,12304100,559400,2024-07-11,1,37400,282400
PERF-000325,PRJ-013,2024-07-31,9869600,9869600,12046900,100.0,12408300,559400,2024-07-11,0,37400,282400
PERF-000326,PRJ-014,2023-12-31,171500,146200,163700,0.1,17092600,387100,2026-05-14,0,0,0
PERF-000327,PRJ-014,2024-01-31,1026800,876700,998800,0.9,20442600,387100,2026-05-14,2,0,0
PERF-000328,PRJ-014,2024-02-29,2434500,2082700,2334100,2.0,22743500,387100,2026-05-14,2,0,0
PERF-000329,PRJ-014,2024-03-31,4538400,3890600,4387300,3.8,34269400,631900,2026-05-14,2,0,0
PERF-000330,PRJ-014,2024-04-30,7114600,6112100,6964200,6.0,39498400,1057700,2026-05-16,1,0,0
PERF-000331,PRJ-014,2024-05-31,10282800,8854400,10184600,8.6,39498400,1087500,2026-05-18,2,0,374500
PERF-000332,PRJ-014,2024-06-30,13788900,11901500,13636800,11.6,39498400,1240400,2026-05-21,4,0,817800
PERF-000333,PRJ-014,2024-07-31,17814800,15415800,17168900,15.0,41560300,1463100,2026-05-24,4,0,817800
PERF-000334,PRJ-014,2024-08-31,22197200,19260100,22645400,18.8,41560300,1829900,2026-05-27,2,0,817800
PERF-000335,PRJ-014,2024-09-30,26727500,23255200,26878200,22.7,59970500,1829900,2026-05-31,2,0,1176700
PERF-000336,PRJ-014,2024-10-31,31655700,27626600,32353000,27.0,62757200,2108200,2026-06-04,4,0,1176700
PERF-000337,PRJ-014,2024-11-30,36614000,32053200,37582900,31.3,62757200,2455400,2026-06-08,3,0,1176700
PERF-000338,PRJ-014,2024-12-31,41881200,36789300,43112600,35.9,62757200,2781800,2026-06-12,2,0,1176700
PERF-000339,PRJ-014,2025-01-31,47241300,41648500,49843900,40.6,75597400,3187600,2026-06-17,2,0,1176700
PERF-000340,PRJ-014,2025-02-28,52118300,46108400,52882500,45.0,79522500,3187600,2026-06-21,2,0,1176700
PERF-000341,PRJ-014,2025-03-31,57508000,51086000,60308400,49.8,79522500,3555600,2026-06-25,2,0,1176700
PERF-000342,PRJ-014,2025-04-30,62665300,55904800,66386200,54.5,91648600,3988600,2026-06-29,2,0,1176700
PERF-000343,PRJ-014,2025-05-31,67882100,60845100,73435700,59.4,96948400,4334000,2026-07-04,2,0,1526100
PERF-000344,PRJ-014,2025-06-30,72772100,65549200,79960300,64.0,110570000,4742400,2026-07-08,3,0,1812000
PERF-000345,PRJ-014,2025-07-31,77609200,70289900,82246600,68.6,110570000,4742400,2026-07-12,2,0,1812000
PERF-000346,PRJ-014,2025-08-31,82174200,74867000,91584000,73.0,112394000,5199800,2026-07-17,2,0,1812000
PERF-000347,PRJ-014,2025-09-30,86282400,79101000,95904500,77.2,113931400,5445500,2026-07-20,2,0,1812000
PERF-000348,PRJ-014,2025-10-31,90155900,83233500,100952800,81.2,117020000,5654300,2026-07-23,2,0,2507000
PERF-000349,PRJ-014,2025-11-30,93494900,86958700,105471500,84.8,121727700,5684800,2026-07-23,4,0,2507000
PERF-000350,PRJ-014,2025-12-31,96470100,90484300,112385400,88.3,131120500,5901700,2026-07-23,3,0,2815900
PERF-000351,PRJ-015,2022-03-31,70900,71500,70900,0.1,14686100,52400,2024-07-14,0,0,0
PERF-000352,PRJ-015,2022-04-30,528800,533700,546500,0.9,15811700,434500,2024-07-14,0,0,0
PERF-000353,PRJ-015,2022-05-31,1419700,1432700,1416900,2.4,15811700,434500,2024-07-14,0,0,0
PERF-000354,PRJ-015,2022-06-30,2653900,2677800,2673100,4.4,15811700,434500,2024-07-14,1,0,0
PERF-000355,PRJ-015,2022-07-31,4279800,4317700,4357300,7.2,20781100,434500,2024-07-14,1,0,0
PERF-000356,PRJ-015,2022-08-31,6227600,6281900,6335900,10.4,22869100,493700,2024-07-13,1,0,0
PERF-000357,PRJ-015,2022-09-30,8386400,8458200,8713700,14.0,22869100,573000,2024-07-13,1,0,0
PERF-000358,PRJ-015,2022-10-31,10866400,10957700,11161900,18.2,22869100,573000,2024-07-13,2,0,0
PERF-000359,PRJ-015,2022-11-30,13475200,13586100,13845900,22.5,30370700,714900,2024-07-13,2,0,0
PERF-000360,PRJ-015,2022-12-31,16353000,16484400,16601100,27.4,30943400,954100,2024-07-13,2,0,0
PERF-000361,PRJ-015,2023-01-31,19381400,19533300,19372900,32.4,33411200,954100,2024-07-12,2,0,0
PERF-000362,PRJ-015,2023-02-28,22217300,22387200,22563300,37.1,33411200,954100,2024-07-12,2,0,0
PERF-000363,PRJ-015,2023-03-31,25436400,25625100,26364300,42.5,35653200,1089100,2024-07-12,2,0,0
PERF-000364,PRJ-015,2023-04-30,28599500,28805000,29243000,47.8,43684600,1115300,2024-07-12,2,0,0
PERF-000365,PRJ-015,2023-05-31,31883600,32104500,33018100,53.3,43833900,1306000,2024-07-11,2,0,0
PERF-000366,PRJ-015,2023-06-30,35044600,35277800,36526400,58.5,46704100,1306000,2024-07-11,2,0,0
PERF-000367,PRJ-015,2023-07-31,38259300,38502400,39069900,63.9,54573800,1504200,2024-07-11,2,0,0
PERF-000368,PRJ-015,2023-08-31,41387200,41636700,43158100,69.1,56817400,1647700,2024-07-11,2,0,0
PERF-000369,PRJ-015,2023-09-30,44298900,44550700,46289700,73.9,58909100,1701800,2024-07-10,2,0,0
PERF-000370,PRJ-015,2023-10-31,47154700,47404500,48372400,78.7,63347100,1701800,2024-07-10,3,0,0
PERF-000371,PRJ-015,2023-11-30,49738000,49981200,50745500,82.9,63347100,1765400,2024-07-10,2,0,0
PERF-000372,PRJ-015,2023-12-31,52187200,52418200,55507100,87.0,65737800,1822100,2024-07-10,2,0,0
PERF-000373,PRJ-015,2024-01-31,54378300,54591100,56278200,90.6,65737800,1931400,2024-07-10,2,0,0
PERF-000374,PRJ-015,2024-02-29,56163600,56353600,57958500,93.5,65737800,1931400,2024-07-10,2,0,0
PERF-000375,PRJ-015,2024-03-31,57756500,57915400,61280700,96.1,65737800,1957700,2024-07-10,3,0,0
PERF-000376,PRJ-015,2024-04-30,58955500,59077400,61739100,98.0,65737800,2121000,2024-07-10,4,0,0
PERF-000377,PRJ-015,2024-05-31,59806800,59882600,62381500,99.4,65737800,2193500,2024-07-10,2,1116100,0
PERF-000378,PRJ-015,2024-06-30,60223200,60246500,62381500,100.0,65737800,2193500,2024-07-10,3,1116100,0
PERF-000379,PRJ-015,2024-07-31,60271400,60271400,62381500,100.0,65737800,2193500,2024-07-10,3,1116100,0
PERF-000380,PRJ-016,2022-01-31,11460900,11085500,12216300,19.6,28343000,899300,2023-03-20,2,19800,349700
PERF-000381,PRJ-016,2022-02-28,14999900,14522500,16500000,25.7,28343000,1335500,2023-03-21,1,19800,349700
PERF-000382,PRJ-016,2022-03-31,19216700,18626800,20799300,33.0,38220500,1555100,2023-03-22,1,19800,349700
PERF-000383,PRJ-016,2022-04-30,23500400,22807100,25771600,40.4,38220500,1777300,2023-03-23,2,19800,349700
PERF-000384,PRJ-016,2022-05-31,28034200,27245600,30304700,48.2,41541200,2537100,2023-03-24,1,19800,349700
PERF-000385,PRJ-016,2022-06-30,32427700,31563400,35574400,55.9,44408800,2625000,2023-03-25,1,19800,349700
PERF-000386,PRJ-016,2022-07-31,36871400,35951400,41542100,63.6,49561700,2919200,2023-03-26,3,19800,349700
PERF-000387,PRJ-016,2022-08-31,41113300,40166400,47286800,71.1,64226300,3241000,2023-03-27,2,19800,349700
PERF-000388,PRJ-016,2022-09-30,44927100,43987000,51086600,77.8,64226300,3525600,2023-03-28,2,19800,349700
PERF-000389,PRJ-016,2022-10-31,48464700,47571200,56348600,84.2,65700900,3777600,2023-03-28,2,19800,349700
PERF-000390,PRJ-016,2022-11-30,51400000,50595200,60248700,89.5,69309700,3993100,2023-03-28,3,19800,349700
PERF-000391,PRJ-016,2022-12-31,53826200,53163900,62932600,94.1,69309700,4190900,2023-03-28,2,19800,349700
PERF-000392,PRJ-016,2023-01-31,55531600,55069100,66678800,97.5,70475000,4190900,2023-03-28,2,19800,349700
PERF-000393,PRJ-016,2023-02-28,56364800,56136900,68477200,99.3,70999100,4581200,2023-03-28,2,697400,349700
PERF-000394,PRJ-016,2023-03-31,56509100,56509100,68477200,100.0,70999100,4581200,2023-03-28,3,697400,349700
PERF-000395,PRJ-017,2023-11-30,90800,80800,87400,0.2,8230600,116700,2026-01-09,1,0,0
PERF-000396,PRJ-017,2023-12-31,487200,434200,475900,1.2,8230600,175900,2026-01-09,0,0,431200
PERF-000397,PRJ-017,2024-01-31,1174000,1048300,1181900,2.9,11594900,183800,2026-01-09,1,0,431200
PERF-000398,PRJ-017,2024-02-29,2056300,1839100,2020000,5.0,11594900,218600,2026-01-10,1,0,431200
PERF-000399,PRJ-017,2024-03-31,3230600,2894800,3254000,7.9,11594900,258800,2026-01-12,1,0,431200
PERF-000400,PRJ-017,2024-04-30,4570400,4103100,4604100,11.2,13452800,343900,2026-01-14,3,0,431200
PERF-000401,PRJ-017,2024-05-31,6139200,5523000,6266500,15.1,13452800,343900,2026-01-16,2,96100,431200
PERF-000402,PRJ-017,2024-06-30,7811300,7042500,8047500,19.2,14350900,427000,2026-01-19,3,96100,431200
PERF-000403,PRJ-017,2024-07-31,9672700,8741300,9944300,23.9,16103400,499100,2026-01-21,2,96100,431200
PERF-000404,PRJ-017,2024-08-31,11643600,10549000,12039500,28.8,20904600,596700,2026-01-24,2,96100,431200
PERF-000405,PRJ-017,2024-09-30,13630500,12381300,14461700,33.8,23926200,674100,2026-01-27,2,96100,431200
PERF-000406,PRJ-017,2024-10-31,15740100,14338900,16498600,39.2,23926200,805900,2026-01-31,2,96100,431200
PERF-000407,PRJ-017,2024-11-30,17811900,16274900,18415700,44.5,26663900,805900,2026-02-03,2,96100,431200
PERF-000408,PRJ-017,2024-12-31,19958300,18297000,21061200,50.0,31040900,964300,2026-02-06,3,96100,431200
PERF-000409,PRJ-017,2025-01-31,22084400,20319100,23747200,55.5,31040900,1028000,2026-02-09,4,96100,431200
PERF-000410,PRJ-017,2025-02-28,23965200,22127100,26155500,60.5,31433700,1031200,2026-02-12,4,96100,431200
PERF-000411,PRJ-017,2025-03-31,25979700,24088200,29129400,65.8,37804900,1111500,2026-02-15,5,96100,431200
PERF-000412,PRJ-017,2025-04-30,27837300,25925200,30981000,70.8,37804900,1254400,2026-02-19,4,96100,431200
PERF-000413,PRJ-017,2025-05-31,29636100,27739200,32828400,75.8,44262200,1280900,2026-02-21,5,123400,431200
PERF-000414,PRJ-017,2025-06-30,31235700,29392500,35866600,80.3,45863600,1282200,2026-02-24,5,123400,431200
PERF-000415,PRJ-017,2025-07-31,32717000,30973900,37700100,84.6,45876900,1410700,2026-02-24,5,261800,431200
PERF-000416,PRJ-017,2025-08-31,33997800,32404400,39655100,88.6,46125600,1469900,2026-02-24,5,261800,431200
PERF-000417,PRJ-017,2025-09-30,35021600,33624200,41336600,91.9,46337200,1509000,2026-02-24,5,261800,520000
PERF-000418,PRJ-017,2025-10-31,35831000,34693200,42157700,94.8,46337200,1631500,2026-02-24,5,261800,520000
PERF-000419,PRJ-017,2025-11-30,36349400,35521800,42377100,97.1,46337200,1631500,2026-02-24,5,261800,692000
PERF-000420,PRJ-017,2025-12-31,36585500,36143900,44424800,98.8,46337200,1631500,2026-02-24,7,261800,692000
PERF-000421,PRJ-018,2024-01-31,272500,201900,217200,0.2,21378800,141400,2025-02-21,0,0,0
PERF-000422,PRJ-018,2024-02-29,2702800,2017100,2198100,2.3,21378800,391100,2025-02-21,3,0,0
PERF-000423,PRJ-018,2024-03-31,7707700,5803300,6228700,6.7,21378800,624800,2025-02-23,1,0,0
PERF-000424,PRJ-018,2024-04-30,14463500,10994200,12174300,12.7,30082400,693200,2025-02-28,0,0,392200
PERF-000425,PRJ-018,2024-05-31,22939000,17630300,19193900,20.4,35284000,947200,2025-03-07,1,0,392200
PERF-000426,PRJ-018,2024-06-30,32126400,24990900,27415900,28.9,44530000,1176300,2025-03-13,2,0,392200
PERF-000427,PRJ-018,2024-07-31,42156600,33261200,37098500,38.4,57244600,1515900,2025-03-21,2,0,392200
PERF-000428,PRJ-018,2024-08-31,52242600,41896000,47250800,48.4,72937600,1679100,2025-03-29,5,0,392200
PERF-000429,PRJ-018,2024-09-30,61590400,50303800,56797800,58.1,72937600,2051100,2025-04-06,2,0,392200
PERF-000430,PRJ-018,2024-10-31,70341600,58739300,66029800,67.8,93109600,2433600,2025-04-14,3,0,392200
PERF-000431,PRJ-018,2024-11-30,77470600,66366000,74336400,76.6,99259500,2842700,2025-04-21,2,0,1317900
PERF-000432,PRJ-018,2024-12-31,82971100,73386600,83469500,84.7,101457300,2842700,2025-04-24,2,0,1317900
PERF-000433,PRJ-018,2025-01-31,86085400,79222200,92394000,91.5,104032500,3423600,2025-04-24,4,0,1703700
PERF-000434,PRJ-018,2025-02-28,86603400,83213500,96105100,96.1,104032500,3599500,2025-04-24,2,0,1703700
PERF-000435,PRJ-018,2025-03-31,86603400,85926600,97949200,99.2,104032500,3646200,2025-04-24,3,0,1703700
PERF-000436,PRJ-018,2025-04-30,86603400,86603400,99602900,100.0,104032500,3646200,2025-04-24,3,0,1703700
PERF-000437,PRJ-019,2024-11-30,150800,152800,156200,0.1,17742800,480200,2026-12-13,0,0,0
PERF-000438,PRJ-019,2024-12-31,1169300,1184500,1186800,1.2,27798000,823700,2026-12-13,1,0,313700
PERF-000439,PRJ-019,2025-01-31,3077400,3116700,3122100,3.1,28133800,930800,2026-12-13,0,0,313700
PERF-000440,PRJ-019,2025-02-28,5496400,5565600,5573800,5.5,31703700,930800,2026-12-13,0,0,313700
PERF-000441,PRJ-019,2025-03-31,8868200,8977900,9069500,8.8,31703700,975600,2026-12-12,1,0,313700
PERF-000442,PRJ-019,2025-04-30,12749500,12904200,13275100,12.7,42214100,1503300,2026-12-12,1,0,313700
PERF-000443,PRJ-019,2025-05-31,17318300,17523900,17896000,17.2,45077800,1503300,2026-12-12,2,0,748400
PERF-000444,PRJ-019,2025-06-30,22202400,22460000,23061700,22.0,45077800,1856300,2026-12-12,2,242900,748400
PERF-000445,PRJ-019,2025-07-31,27646400,27959000,28811700,27.4,58221100,2456700,2026-12-11,1,242900,1321100
PERF-000446,PRJ-019,2025-08-31,33412100,33779200,33837900,33.1,58221100,2456700,2026-12-11,2,242900,1863900
PERF-000447,PRJ-019,2025-09-30,39219700,39637700,40633100,38.9,65573100,2523000,2026-12-11,2,242900,1863900
PERF-000448,PRJ-019,2025-10-31,45375500,45842500,47647600,44.9,65573100,2767700,2026-12-10,4,242900,2041800
PERF-000449,PRJ-019,2025-11-30,51405000,51914300,53246200,50.9,73468100,2916100,2026-12-10,2,242900,2608900
PERF-000450,PRJ-019,2025-12-31,57629400,58175600,59010600,57.0,84496200,3569300,2026-12-09,2,242900,2608900
PERF-000451,PRJ-020,2023-10-31,51900,46200,52600,0.1,5113600,182500,2025-08-18,0,0,0
PERF-000452,PRJ-020,2023-11-30,453200,403600,448300,1.2,8277500,182500,2025-08-18,0,0,0
PERF-000453,PRJ-020,2023-12-31,1251000,1116200,1271600,3.2,8277500,303300,2025-08-18,0,0,0
PERF-000454,PRJ-020,2024-01-31,2397000,2143200,2462500,6.1,10854600,303300,2025-08-19,0,0,0
PERF-000455,PRJ-020,2024-02-29,3747400,3357700,3816500,9.6,13782500,476700,2025-08-21,3,0,0
PERF-000456,PRJ-020,2024-03-31,5448900,4894200,5642300,14.0,13782500,476700,2025-08-23,1,0,0
PERF-000457,PRJ-020,2024-04-30,7311000,6583400,7181000,18.8,15750000,542100,2025-08-26,3,0,0
PERF-000458,PRJ-020,2024-05-31,9417200,8503900,9813500,24.3,18876700,735000,2025-08-28,1,234100,0
PERF-000459,PRJ-020,2024-06-30,11592900,10499400,12087100,29.9,19456600,840400,2025-08-31,1,234100,0
PERF-000460,PRJ-020,2024-07-31,13942500,12669000,14934700,36.1,25751900,1024600,2025-09-04,2,234100,0
PERF-000461,PRJ-020,2024-08-31,16353900,14913400,17716800,42.5,27357300,1240000,2025-09-07,2,234100,0
PERF-000462,PRJ-020,2024-09-30,18707200,17123800,20056500,48.8,31462200,1240000,2025-09-10,2,234100,0
PERF-000463,PRJ-020,2024-10-31,21118600,19427900,22764600,55.4,32418200,1372600,2025-09-13,3,234100,0
PERF-000464,PRJ-020,2024-11-30,23393800,21860100,25510300,62.3,33627600,1511000,2025-09-17,5,234100,0
PERF-000465,PRJ-020,2024-12-31,25643900,24304700,28409200,69.3,34224400,1578900,2025-09-21,5,234100,0
PERF-000466,PRJ-020,2025-01-31,27750100,26641100,31218200,76.0,39401600,1667700,2025-09-24,5,234100,0
PERF-000467,PRJ-020,2025-02-28,29494200,28626300,33357000,81.6,39401600,2004600,2025-09-26,4,234100,0
PERF-000468,PRJ-020,2025-03-31,31211600,30649900,36863800,87.4,43434400,2073000,2025-09-26,4,234100,0
PERF-000469,PRJ-020,2025-04-30,32621800,32398600,36863800,92.4,43434400,2225600,2025-09-26,4,234100,71900
PERF-000470,PRJ-020,2025-05-31,33778300,33951300,39726100,96.8,43434400,2397500,2025-09-26,4,234100,71900
PERF-000471,PRJ-020,2025-06-30,34567700,35061100,40660500,100.0,43434400,2397500,2025-09-26,4,234100,71900
